subject,mission,mode,HR,HRV,nav,tank,space,trees,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,tank_local_score,HRnorm,label
19.0,1.0,1.0,72.76255154014069,-0.0724789157369655,11.0,9.0,0.0,0.0,0.0,23.0,1.0,0.0,1.0,0.0,6427.73,152.0,0.0,172.0,-2.4439999999999955,6.378813904524662,1.0
19.0,1.0,0.0,72.34145165179649,-0.06637182797728446,0.0,9.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,5647.415999999998,0.0,0.0,192.012,6.428600000000001,5.957714016180461,1.0
19.0,1.0,0.0,71.07320540156361,-0.08969022021686222,2.0,8.0,0.0,0.0,0.0,18.0,1.0,8.0,8.0,0.0,5231.5109999999995,259.99,1723.74,1444.361,5.1428,4.6894677659475965,1.0
19.0,1.0,1.0,65.36738893596417,-0.06052915096820675,6.0,7.0,0.0,0.0,0.0,18.0,2.0,0.0,4.0,0.0,7267.78,1079.8,0.0,584.04,15.944300000000005,-1.016348699651843,1.0
19.0,1.0,0.0,69.89748369058714,-0.07989604666329958,17.0,4.0,2.0,2.0,0.0,3.0,10.0,6.0,1.0,0.0,1971.74,2327.834,1031.92,208.0,-2.713999999999998,3.513746054971122,1.0
19.0,1.0,1.0,65.47041707080504,-0.04298364643176128,6.0,7.0,0.0,0.0,0.0,27.0,0.0,2.0,5.0,0.0,6434.29,0.0,343.96,943.7,3.4440000000000026,-0.9133205648109736,1.0
19.0,1.0,0.0,66.10841780520052,0.009623522762562356,27.0,2.0,0.0,0.0,1.0,10.0,17.0,10.0,5.0,147.97,2235.85,2979.757,1631.9450000000004,747.8739999999999,5.865000000000002,-0.2753198304154978,1.0
19.0,1.0,0.0,70.53844345168116,-0.05487989517166398,32.0,0.0,2.0,1.0,0.0,3.0,21.0,2.0,5.0,0.0,748.11,4227.674000000001,367.87,1023.965,-5.0,4.154705816065146,1.0
19.0,2.0,0.0,74.88766849725411,-0.10555531747757813,28.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,1.0,0.0,239.95,5715.2930000000015,2590.7,148.0,-12.778,11.378803718212032,1.0
19.0,2.0,0.0,69.62172197725691,-0.09603175711690197,25.0,3.0,0.0,0.0,0.0,10.0,3.0,13.0,12.0,0.0,2043.5179999999998,695.97,3167.5679999999998,2779.56,-25.22211,6.112857198214833,1.0
19.0,2.0,1.0,68.26801517067004,-0.12789779504850807,6.0,10.0,0.0,1.0,0.0,20.0,4.0,0.0,4.0,0.0,6120.344,1279.92,0.0,991.76,-0.88889,4.759150391627962,1.0
19.0,2.0,0.0,69.15097963887823,-0.11667005104724662,15.0,7.0,0.0,0.0,0.0,13.0,3.0,11.0,3.0,0.0,3639.717,923.99,2859.723,431.9500000000001,0.0,5.642114859836148,1.0
19.0,2.0,1.0,68.78104700038213,-0.0835743192048201,9.0,2.0,0.0,0.0,0.0,20.0,2.0,4.0,1.0,0.0,5947.071000000001,1055.78,1344.08,188.0,11.429,5.272182221340053,1.0
19.0,2.0,0.0,67.30649383023807,-0.11640630266926867,18.0,0.0,2.0,1.0,0.0,7.0,24.0,4.0,2.0,0.0,2791.72,5119.053,1131.88,284.01,3.0,3.7976290511959903,1.0
19.0,2.0,1.0,71.45409074669523,-0.0932424644133084,2.0,5.0,0.0,1.0,0.0,21.0,4.0,3.0,2.0,0.0,4579.36,1335.98,799.99,463.91,-2.4440000000000026,7.9452259676531645,1.0
19.0,2.0,0.0,66.51884700665188,-0.07643464195922949,21.0,4.0,0.0,0.0,0.0,7.0,17.0,6.0,8.0,0.0,1440.05,3331.603,2019.83,1507.7920000000001,15.286,3.009982227609804,1.0
19.0,2.0,1.0,64.21920154126083,-0.0168281691221725,0.0,4.0,0.0,1.0,0.0,20.0,9.0,0.0,7.0,0.0,4299.528,2143.7329999999997,0.0,840.197,-2.4439999999999955,0.7103367622187521,1.0
19.0,2.0,1.0,63.95224898742272,-0.0919077735888077,0.0,12.0,0.0,1.0,0.0,25.0,0.0,0.0,7.0,0.0,7415.961999999998,0.0,0.0,984.168,17.443999999999996,0.4433842083806496,1.0
19.0,2.0,1.0,67.23442402510085,-0.07244590236155625,0.0,8.0,0.0,1.0,0.0,22.0,0.0,0.0,6.0,0.0,8003.643,0.0,0.0,628.0799999999998,28.023999999999994,3.725559246058772,1.0
19.0,2.0,0.0,71.36909718092066,-0.09537905890628272,19.0,0.0,0.0,0.0,0.0,8.0,11.0,8.0,9.0,0.0,2695.89,2023.459,2239.4,1716.06,6.0,7.860232401878568,1.0
19.0,2.0,0.0,74.85963817841547,-0.07515861317130336,36.0,0.0,1.0,1.0,0.0,0.0,20.0,14.0,8.0,0.0,0.0,4955.625,2843.616,1351.9779999999998,-5.0,11.350773399373386,1.0
19.0,2.0,0.0,64.38459062131129,-0.04822435203262836,33.0,0.0,1.0,0.0,0.0,1.0,20.0,3.0,10.0,0.0,228.0,5067.6889999999985,439.89,1371.989,-5.0,0.8757258422692118,1.0
19.0,2.0,0.0,67.71244780498816,-0.05231872928397037,19.0,1.0,0.0,0.0,0.0,4.0,18.0,0.0,9.0,0.0,783.9100000000002,5839.6129999999985,0.0,1883.88,-5.0,4.203583025946081,1.0
19.0,2.0,1.0,72.4987916868052,-0.09423894569302524,0.0,9.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,7959.282000000001,0.0,0.0,0.0,12.079999999999984,8.989926907763127,1.0
19.0,2.0,1.0,74.26661715558858,-0.09308421194827372,0.0,7.0,0.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,8507.788,472.009,0.0,0.0,7.959999999999994,10.757752376546499,1.0
19.0,2.0,1.0,75.38635506973239,-0.08341548755483064,0.0,9.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,8259.08,0.0,0.0,0.0,-46.143,11.87749029069031,1.0
19.0,2.0,1.0,74.94379215588309,-0.11350659463628575,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,8103.050000000001,0.0,0.0,1503.64,-11.635000000000002,11.434927376841008,1.0
19.0,2.0,0.0,70.35647279549718,-0.060633647505905386,23.0,2.0,1.0,1.0,0.0,6.0,21.0,6.0,3.0,0.0,2704.0,4611.862,1195.859,507.7,-5.610999999999998,6.847608016455106,1.0
19.0,2.0,0.0,75.8437618505878,-0.10445346756723176,32.0,0.0,2.0,2.0,0.0,2.0,26.0,2.0,2.0,0.0,268.36,5586.6269999999995,484.01,235.88,-15.88924,12.334897071545718,1.0
19.0,2.0,1.0,77.80082987551866,-0.06718941568554178,4.0,7.0,0.0,0.0,0.0,19.0,1.0,7.0,0.0,0.0,5098.753,88.042,1396.0120000000002,0.0,0.0,14.29196509647658,1.0
19.0,2.0,0.0,67.73538044705353,-0.009629184304733557,19.0,6.0,0.0,0.0,3.0,16.0,5.0,5.0,5.0,339.95599999999996,4638.816,1403.89,986.947,955.7539999999999,0.0,4.226515668011437,1.0
19.0,2.0,0.0,68.29046209879354,-0.06426096244940799,34.0,0.0,2.0,2.0,0.0,0.0,31.0,6.0,2.0,0.0,0.0,5938.944,1356.01,387.99,0.0,4.781597319751461,1.0
19.0,2.0,0.0,64.55083378160302,-0.050742034203868094,38.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,2.0,0.0,0.0,5543.974,1687.559,391.83,0.0,1.0419690025609398,1.0
19.0,2.0,1.0,69.17223887479825,-0.007492405231717292,6.0,9.0,0.0,0.0,0.0,23.0,0.0,4.0,2.0,0.0,5515.255,0.0,1376.06,239.72,0.0,5.663374095756176,1.0
19.0,2.0,1.0,71.43707584236219,-0.12020715453848305,0.0,10.0,0.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,8615.230000000001,0.0,0.0,127.99,26.801199999999994,7.928211063320112,1.0
19.0,2.0,1.0,71.37758743754462,-0.11639326673222647,0.0,5.0,0.0,1.0,0.0,21.0,0.0,2.0,6.0,0.0,5484.387,0.0,256.03,1595.86,23.85700000000001,7.8687226585025405,1.0
